Latitude | Longitude | Name
42.7655209 | 23.0398643 | Златуша
42.4986007 | 25.5959748 | Змейово
43.6833163 | 25.9558724 | Иваново
42.6644692 | 23.4129414 | Искър
42.6696876 | 23.4030899 | Искърско шосе
43.7041032 | 26.8346109 | Исперих
42.4292619 | 23.7988699 | Ихтиман
42.6138328 | 25.3915575 | Казанлък
44.0855735 | 27.2197006 | Калипетрово
42.4269865 | 25.7315691 | Калитиново
42.9798575 | 22.8511825 | Калотина
42.9940465 | 22.8434305 | Калотина Запад
42.5962354 | 25.0042354 | Калофер
42.3109322 | 25.5693780 | Калояновец
42.3341979 | 24.7555724 | Калояново
43.3627389 | 25.0063100 | Каменец
42.1023508 | 25.3207665 | Караджалово
43.3063399 | 26.3124804 | Караджата
43.7529973 | 28.1144706 | Кардам
42.6319099 | 24.8048110 | Карлово
43.1888557 | 24.0712750 | Карлуково
42.6678495 | 26.9773650 | Карнобат
43.3116258 | 27.1670225 | Каспичан
42.1015957 | 24.8757220 | Катуница
43.1682917 | 25.9295152 | Кесарево
43.7244595 | 26.8893065 | Китанчево
41.8250785 | 25.5962959 | Книжовник
43.1386671 | 25.8176885 | Козаревец
43.5861201 | 24.6320309 | Комарево
43.0064957 | 27.2903660 | Комунари
42.3313076 | 22.7331478 | Копиловци
42.7007328 | 24.3390143 | Копривщица
42.0356741 | 24.0704378 | Костандово
42.3082460 | 23.8600371 | Костенец
42.8071688 | 23.1996721 | Костинброд
42.7923893 | 23.2093961 | Костинброд сп.
43.2233301 | 26.7945727 | Кочово
42.5967896 | 23.0087598 | Кракра
42.7516528 | 23.4856350 | Кремиковци
41.7098773 | 23.1731702 | Кресна
43.6091055 | 24.6677669 | Крета
43.6859854 | 23.0989807 | Крива бара
43.6756166 | 26.3475108 | Кривня
42.0603575 | 24.4648953 | Кричим
42.0629207 | 25.5024903 | Крум
42.0935108 | 24.8189611 | Крумово
43.2421234 | 25.6690837 | Крушето
42.7698119 | 25.5522150 | Кръстец
42.7759699 | 23.3602541 | Кубратово
41.3917909 | 23.3616894 | Кулата
42.7999279 | 23.3416420 | Кумарица
43.1874075 | 24.0057733 | Кунино
42.8181778 | 23.3564461 | Курило
42.0953506 | 24.4918295 | Куртово Конаре
43.2686652 | 25.6468078 | Куцина
41.6308924 | 25.3883301 | Кърджали
42.2890060 | 22.6829162 | Кюстендил
43.0875857 | 23.4667113 | Левище
43.3510919 | 25.1429289 | Левски
43.2006933 | 25.4169927 | Лесичери
43.3162555 | 25.0592785 | Летница
43.2571916 | 26.6934402 | Ловец
43.1368475 | 24.7069538 | Ловеч
43.1687408 | 24.7301447 | Ловеч - Север
42.7690709 | 26.8874235 | Лозарево
42.7679878 | 23.4346922 | Локорско
43.8214612 | 23.2417852 | Лом
43.2150321 | 24.1758665 | Луковит
42.8800918 | 23.3839783 | Луково
41.8511912 | 26.0735810 | Любимец
43.2743449 | 27.0998773 | Мадара
42.6898339 | 23.8035462 | Макоцево
42.1850610 | 24.9234417 | Маноле / Manole
43.6173978 | 23.1639973 | Медковец
43.3171887 | 26.1821743 | Медовина
43.1421873 | 23.7148622 | Мездра
43.1315194 | 23.7038554 | Мездра юг
42.1216709 | 25.4908176 | Меричлери
43.6315660 | 24.7126660 | Милковица
42.7034602 | 23.9968253 | Мирково
42.2426919 | 25.5295187 | Михайлово
43.2159579 | 25.3608076 | Михалци-Стамболово
42.1802148 | 24.2931258 | Мокрище
41.6271109 | 25.4454989 | Момина скала
43.4084098 | 23.2300539 | Монтана
43.4530086 | 25.2065850 | Морава
43.1908199 | 27.7585889 | Моряк
42.1174554 | 23.0382900 | Мурсалево
43.5160155 | 23.3394275 | Мърчево
43.2452417 | 26.7592498 | Надарево
43.2492849 | 27.2843518 | Невша
42.7746193 | 23.4078663 | Негован
42.7135643 | 23.7299675 | Негушево
42.4858330 | 26.0160527 | Нова Загора
43.4560939 | 27.6479142 | Оборище
42.1385313 | 24.4169262 | Огняново
43.3730927 | 24.9356338 | Одърне
43.5846359 | 25.2167419 | Ореш
43.6591196 | 22.7460754 | Орешец
42.2046601 | 25.1764093 | Оризово
43.0769443 | 23.5404828 | Оселна
43.4527576 | 23.3656526 | Охрид
43.2331140 | 25.3015802 | Павликени
42.1696825 | 24.3207774 | Пазарджик
42.4920655 | 24.1968517 | Панагюрище
43.0190339 | 27.2563678 | Партизани
41.7496843 | 23.1540840 | Пейо Яворов
42.6007396 | 23.0306914 | Перник
42.6049874 | 23.0615787 | Перник разпределителна
43.2990060 | 25.6397512 | Петко Каравелово
41.4081910 | 23.2066633 | Петрич
42.8275955 | 23.1217953 | Петърч
42.0345458 | 24.3125188 | Пещера
42.7099151 | 24.1741102 | Пирдоп
42.8274831 | 25.4800596 | Плачковци
43.4207374 | 24.6145497 | Плевен
43.4298953 | 24.5931622 | Плевен Запад
43.3445714 | 27.0947494 | Плиска
42.1342595 | 24.7414107 | Пловдив
43.1942296 | 27.6401486 | Повеляново
42.8015930 | 26.8764820 | Подвис
43.5396698 | 24.5967916 | Подем
42.6978811 | 23.3549073 | Подуяне
43.1675816 | 25.6201324 | Поликраище
43.3703726 | 25.6341294 | Полски Тръмбеш
42.1384668 | 25.0605732 | Поповица
43.3327246 | 26.2329697 | Попово
43.3862080 | 24.8475326 | Пордим
42.8226794 | 26.9119775 | Прилеп
43.1900976 | 27.4383198 | Провадия
43.0717709 | 23.4726359 | Пролет
43.6432271 | 26.4807188 | Просторно
42.1003908 | 25.2239927 | Първомай
43.2345144 | 27.3455340 | Равна
43.6773575 | 27.9889570 | Равнец
43.3424380 | 25.6383060 | Раданово
42.5387449 | 22.9520606 | Радомир
42.7327963 | 23.0233461 | Радуй
42.6778501 | 25.5968096 | Радунци
42.3787822 | 22.7067253 | Раждавица
43.5672980 | 26.5091685 | Разград
43.1689486 | 27.6247660 | Разделна
41.8806830 | 23.4731711 | Разлог
42.7109939 | 23.0282681 | Разменна
43.5994541 | 26.4855655 | Раковски
42.8989926 | 23.3885646 | Реброво
43.1141241 | 23.6752520 | Ребърково
43.1814953 | 25.5640538 | Ресен
42.7157891 | 24.5393880 | Розино
42.8521582 | 23.3711574 | Ромча
43.8194365 | 27.0342636 | Руйно
43.1933267 | 25.4710831 | Русаля Дичин
43.8583444 | 25.9964269 | Русе Разпределителна Гара
43.8329778 | 25.9562252 | Русе Централна Гара
43.1375571 | 25.6189963 | Самоводене
43.5123747 | 26.7389652 | Самуил
41.5426853 | 23.2517881 | Сандански
42.7156308 | 23.7567652 | Саранци
42.5675123 | 27.4927160 | Сарафово
42.6459524 | 25.2230126 | Сахране
42.6776988 | 25.9686848 | Сборище
42.7832857 | 23.3813538 | Световрачене
41.7736519 | 26.1448467 | Свиленград
43.6231336 | 25.3366330 | Свищов
42.2407613 | 25.4335964 | Свобода
43.6614028 | 26.3812371 | Сеново
42.2040862 | 24.1317263 | Септември
44.1136521 | 27.2505794 | Силистра
42.0252122 | 25.8438638 | Симеоновград
41.8842411 | 23.1070022 | Симитли
43.8988239 | 22.7985300 | Синаговци-гурково
43.1230934 | 27.5981981 | Синдел Разпределителна
42.1883562 | 24.8511583 | Скутаре
43.2940972 | 26.1714648 | Славяново
43.9575404 | 22.8173692 | Слана бара
42.6667918 | 26.3361677 | Сливен
42.8497237 | 23.0556334 | Сливница
43.0761743 | 27.0293455 | Смядово
43.0208270 | 25.5316343 | Соколово
43.6899893 | 24.7729980 | Сомовит
42.6417214 | 24.7423814 | Сопот
42.7267117 | 23.3169256 | София Север
43.8210415 | 22.7570272 | Срацимир
41.6380606 | 25.5121720 | Средна Арда
43.7421677 | 23.1652058 | Сталийска махала
42.1332185 | 24.5364004 | Стамболийски
43.0457787 | 22.9220439 | Станянци
42.4162827 | 25.6293707 | Стара Загора
42.7055282 | 23.6322358 | Столник
43.2171475 | 25.9546639 | Стражица
42.5923844 | 26.6884257 | Стралджа
43.1977012 | 27.7412616 | Страшимирово
42.4928896 | 24.3309607 | Стрелча
41.6411128 | 23.1989203 | Струмяни
43.1359121 | 23.8658043 | Струпец
42.6958065 | 24.4213180 | Стряма
42.2599914 | 24.5341758 | Съединение
43.6212561 | 25.9378973 | Табачка
42.6953734 | 25.8983757 | Твърдица
43.3305096 | 24.2527142 | Телиш
43.9723864 | 22.8483010 | Товарна гара Видин
42.9253617 | 23.3802015 | Томпсън
43.2001483 | 27.8105282 | Тополите
43.7604543 | 23.1915048 | Трайково
42.1332426 | 24.8007307 | Тракия
42.8812446 | 24.7140797 | Троян
42.2302308 | 24.7239101 | Труд
43.1437431 | 27.6030106 | Тръстиково
42.8735183 | 25.4966123 | Трявна
42.5719986 | 25.5545320 | Тулово
42.6390142 | 25.0903616 | Тъжа
43.2634332 | 26.5780840 | Търговище
42.9366234 | 27.2176055 | Търнак
42.1668470 | 24.7368289 | Филипово
42.1328761 | 24.4514358 | Хаджиево
43.2035961 | 26.8916888 | Хан Крум
41.9227697 | 25.9241227 | Харманли
41.9329780 | 25.5801568 | Хасково
42.5055117 | 24.7009237 | Хисар
42.8054084 | 23.0618723 | Храбърско
42.3514039 | 25.5952723 | Християново
42.9329419 | 25.4546459 | Царева ливада
42.6535138 | 23.4637377 | Царската гара
42.0114477 | 23.8680613 | Цветино
42.7121064 | 23.3209910 | Централна ЖП гара София
42.6207694 | 26.8412813 | Церковски
43.0037444 | 23.3491196 | Церово
42.7079175 | 23.7740723 | Чеканчево
42.6981208 | 24.0766562 | Челопеч
43.2822393 | 24.0789073 | Червен Бряг
42.5884890 | 25.4747329 | Черганово
43.7050576 | 24.8388405 | Черквица
42.2207422 | 25.2280633 | Черна Гора
41.8600573 | 23.1288619 | Черниче
42.2037465 | 25.3392157 | Чирпан
43.2714268 | 26.9437568 | Шумен
43.0891713 | 27.6127200 | Юнак
42.0231124 | 23.6720961 | Якоруда
42.4956883 | 26.4914216 | Ямбол
42.7262344 | 23.5513307 | Яна
43.2067713 | 25.6655756 | Янтра
43.4340776 | 24.5310374 | Ясен
43.5492457 | 26.6332204 | Ясеновец
